水质类别,序号,R通道一阶矩,G通道一阶矩,B通道一阶矩,R通道二阶矩,G通道二阶矩,B通道二阶矩,R通道三阶矩,G通道三阶矩,B通道三阶矩
1.0,1.0,0.5253257812500001,0.491199609375,0.22138085937500002,0.015150774441807369,0.01562516679110197,0.04812777388864269,-0.010225974465999935,-0.009600271364809518,-0.029347124538524717
1.0,10.0,0.6787765625000001,0.6434453125,0.443801171875,0.09430046869446669,0.12117615114754883,0.2568273022666101,-0.07778836266263839,-0.09865713478555029,-0.18944935473911143
1.0,11.0,0.584908203125,0.56928671875,0.32290039062500003,0.008878681762381532,0.007352514342936426,0.011769417646678335,-0.004163506062247223,-0.0035469188864804824,-0.006613203299747355
1.0,12.0,0.575833984375,0.586322265625,0.301346484375,0.008716731668476701,0.006864335823131367,0.010419340248528192,-0.005156492805922082,-0.004040342921752931,-0.006237131784352399
1.0,13.0,0.562851171875,0.573775,0.28144375,0.008244517952156317,0.006650377764763628,0.013050231042914058,-0.004629119899291286,-0.002941335312080697,-0.009700160174043116
1.0,14.0,0.569999609375,0.562203515625,0.33068984375,0.008281880126011904,0.004738555275335733,0.011675098675263878,-0.004314432513360396,-0.002056858066635927,-0.00704550793612402
1.0,15.0,0.5832476562500001,0.57025859375,0.2864953125,0.007451861749272696,0.004793096982799685,0.011446237803893528,-0.0036443347114653996,-0.001853696866554436,-0.009160053146401297
1.0,16.0,0.5758394531250001,0.531822265625,0.33708085937500004,0.022002543212237918,0.02077193670170404,0.037174372910813915,-0.04529365165184409,-0.04630180857795033,-0.056786072406652996
1.0,17.0,0.575751953125,0.530912109375,0.33697851562500003,0.021875154767170137,0.02063787541640081,0.036708251023534026,-0.04466091519932848,-0.04575588008958585,-0.056621160728664535
1.0,18.0,0.60723203125,0.5718546875,0.398081640625,0.015777206919436366,0.00982973717401214,0.01075985818620561,-0.007447168543721786,-0.004538838703425566,-0.004921150442534635
1.0,19.0,0.58949609375,0.52642421875,0.260103125,0.012684237356630318,0.009452307267059108,0.013200660272903966,-0.006726741164376053,-0.003281208581800799,-0.002357614670527886
1.0,2.0,0.566200390625,0.5531507812500001,0.394933203125,0.06996133256339983,0.07815929290717148,0.17148796584678277,-0.06723928046356756,-0.07753203692433387,-0.14319503127678077
1.0,20.0,0.5635953125000001,0.49904609375000003,0.21703085937500002,0.008509867463026745,0.005539947203236545,0.011182804415418607,-0.0067816754765176,-0.0022770918140008196,-0.005824439921010356
1.0,21.0,0.6110515625,0.52795625,0.23863515625,0.009201841087224405,0.0057878627721076785,0.014291746668170005,-0.0025506505893795957,-0.0034115892997264845,-0.007177236754925067
1.0,22.0,0.56066796875,0.521454296875,0.287640234375,0.008676834695160932,0.005648741009631832,0.010315999635528523,-0.004996343627282414,-0.0024077448765935597,-0.007261246804704154
1.0,23.0,0.6417441406250001,0.6250222656250001,0.291125,0.008717169286801522,0.006392023444465734,0.012478873748822955,-0.0033744515769363196,-0.0022817652727026828,-0.0028530426809036547
1.0,24.0,0.521084375,0.550080078125,0.264728515625,0.008321792562021268,0.005682593272660838,0.011155493446150177,-0.0033899911157419973,-0.003210335319217941,-0.0038217001947735453
1.0,25.0,0.561661328125,0.5943472656250001,0.33533203125,0.007260587036527434,0.005284452601787349,0.00921376238886148,-0.001622322541100469,-0.0017631098699239245,-0.002703233384770491
1.0,26.0,0.57435234375,0.5689953125,0.25310468750000004,0.0077405183540670205,0.005658127493993156,0.011190634490187274,-0.0055847307804703155,-0.001480333224477703,-0.0071860263966121935
1.0,27.0,0.6899273437500001,0.633180078125,0.186369921875,0.010055890898993539,0.007248431005719636,0.008584872465436084,-0.0038690680145333158,-0.00419726236697938,-0.002331114737754912
1.0,28.0,0.70143046875,0.633056640625,0.191126953125,0.010738008817933775,0.007611469959545814,0.008977738505089773,-0.005685016006296594,-0.004459427082157161,-0.0051667853169696685
1.0,29.0,0.480844140625,0.45738125,0.22553398437500002,0.015813735510765425,0.013205073266019295,0.012508769573929409,-0.004775276390296129,-0.008660035259611601,-0.004375576114406656
1.0,3.0,0.6026250000000001,0.57384453125,0.30477421875,0.008119191132646007,0.007140238595603685,0.012978927647005785,-0.003938047625552882,-0.00244608361374497,-0.0026281106798884575
1.0,30.0,0.606063671875,0.56796484375,0.231921875,0.01172597740019954,0.0074268065441571805,0.011115608966462989,-0.0017659321846208084,-0.0026295224210075917,-0.0023152097744823965
1.0,31.0,0.520531640625,0.5070078125,0.248931640625,0.00907454142607249,0.005802279110064752,0.011096155212141875,-0.005751263254359821,-0.002717598254764426,-0.006364049407806993
1.0,32.0,0.8115996093750001,0.73827578125,0.24238125000000002,0.019370262206611477,0.013964391950733505,0.010930619934314684,-0.014793804134915822,-0.010919854367400653,-0.0040672890815820146
1.0,33.0,0.812071484375,0.7323703125000001,0.242107421875,0.020306739684282763,0.013802846863707828,0.010005247455912959,-0.015605783856639186,-0.010357165331958471,-0.004285197848813336
1.0,34.0,0.624269140625,0.6189355468750001,0.16230859375,0.013466138172795449,0.008174656469377413,0.010766520026973014,-0.0069415328378677225,-0.006139350066802107,-0.006983752291743794
1.0,35.0,0.61142578125,0.6032765625000001,0.14180781250000002,0.011878195884711869,0.008020525883582616,0.009444656718343117,-0.007227443605282095,-0.005511699513614686,-0.005195587282468215
1.0,36.0,0.62301015625,0.53464140625,0.147284765625,0.007904836791619952,0.006916852323805666,0.008944387907661692,-0.0051839739651232414,-0.00239597028595027,-0.004754921644810315
