,0,1,2,3,4,5,6,7,8,9,10,11
0,17.0,66.19444444444444,548.0,1302.327115555555,45.0,163.0,181.0,20.0,34.0,9.0,13.0,128.0
1,8.0,68.38888888888889,152.0,124.26966279069762,43.0,38.0,0.0,12.0,0.0,12.0,14.0,76.0
2,23.0,65.875,679.0,1014.0435849999996,60.0,163.0,214.0,64.0,51.0,17.0,13.0,157.0
3,1.0,75.0,3.0,0.3712333333333333,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
4,35.0,65.97222222222223,756.0,853.3259152777771,72.0,163.0,215.0,110.0,46.0,30.0,20.0,172.0
5,1.0,75.0,9.0,8.191980000000001,5.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0
6,30.0,65.95161290322581,655.0,958.3017822580638,62.0,163.0,182.0,83.0,29.0,22.0,20.0,156.0
7,30.0,65.91935483870968,764.0,887.6892114285708,70.0,163.0,214.0,110.0,63.0,30.0,20.0,164.0
8,18.0,65.71052631578948,126.0,64.32933599999996,25.0,1.0,1.0,46.0,12.0,13.0,0.0,53.0
9,28.0,65.75862068965517,545.0,344.47083230769266,65.0,1.0,215.0,90.0,45.0,22.0,20.0,152.0
10,29.0,65.81666666666666,395.0,265.24453035714265,56.0,1.0,138.0,63.0,28.0,22.0,20.0,123.0
11,26.0,65.85185185185185,378.0,289.6770411764703,51.0,1.0,138.0,63.0,28.0,22.0,14.0,112.0
12,29.0,65.96666666666667,516.0,1006.9125634615376,52.0,163.0,105.0,66.0,29.0,15.0,20.0,118.0
13,20.0,65.76190476190476,170.0,54.08976571428567,35.0,1.0,2.0,46.0,12.0,22.0,14.0,73.0
14,18.0,65.71052631578948,158.0,58.43384838709673,31.0,1.0,1.0,46.0,12.0,22.0,14.0,62.0
15,30.0,65.7741935483871,539.0,349.03198281250036,64.0,1.0,215.0,90.0,45.0,22.0,20.0,146.0
16,30.0,65.8225806451613,388.0,274.3234555555553,54.0,1.0,138.0,63.0,28.0,22.0,20.0,116.0
17,16.0,65.67647058823529,141.0,60.35422142857139,28.0,1.0,1.0,46.0,12.0,13.0,7.0,61.0
18,30.0,65.95161290322581,529.0,970.3573981481474,54.0,163.0,105.0,66.0,29.0,15.0,20.0,131.0
19,17.0,65.69444444444444,151.0,59.05343333333329,30.0,1.0,1.0,46.0,12.0,15.0,14.0,62.0
20,16.0,65.67647058823529,150.0,61.021058620689615,29.0,1.0,1.0,46.0,12.0,15.0,14.0,61.0
21,26.0,65.85185185185185,335.0,300.21812978723375,47.0,1.0,138.0,46.0,12.0,22.0,14.0,102.0
22,26.0,65.85185185185185,337.0,300.6420276595742,47.0,1.0,138.0,46.0,12.0,22.0,14.0,104.0
23,15.0,67.25,186.0,72.11583333333337,48.0,0.0,1.0,23.0,29.0,11.0,10.0,112.0
24,21.0,66.1590909090909,450.0,1236.256423809523,42.0,163.0,103.0,20.0,29.0,20.0,14.0,101.0
25,16.0,65.67647058823529,112.0,38.98503461538461,26.0,1.0,1.0,18.0,12.0,15.0,14.0,51.0
26,28.0,65.84482758620689,370.0,283.417976470588,51.0,1.0,137.0,63.0,12.0,22.0,20.0,115.0
27,36.0,65.95945945945945,754.0,830.7727783783778,74.0,164.0,215.0,110.0,46.0,22.0,20.0,177.0
28,17.0,66.19444444444444,546.0,1302.327115555555,45.0,163.0,181.0,20.0,34.0,9.0,13.0,126.0
29,13.0,67.42857142857143,327.0,82.88432409638554,83.0,0.0,50.0,17.0,30.0,43.0,0.0,187.0
30,10.0,67.31818181818181,255.0,79.29734,70.0,1.0,44.0,19.0,18.0,9.0,8.0,156.0
31,28.0,65.89655172413794,389.0,279.87390754716955,53.0,1.0,138.0,63.0,28.0,22.0,20.0,117.0
32,31.0,65.859375,734.0,832.3270684931501,73.0,163.0,215.0,83.0,46.0,22.0,20.0,185.0
