0,1,2,3,4,5,6,7,8,9,10,11
7,66.625,82,19.6729697,33,0,0,0,9,0,7,66
17,66.11111111,348,211.5430708,48,0,111,85,17,15,31,89
11,67.16666667,150,113.0357359,39,27,18,16,22,23,12,32
14,67.73333333,384,85.65626596,94,1,50,18,30,43,19,223
7,69,97,26.86216061,33,0,0,12,0,12,9,64
15,66.625,173,91.40530588,51,27,18,24,16,23,14,51
22,65.93478261,694,937.9673141,64,163,213,90,33,24,31,140
5,68.5,147,149.1617028,36,38,0,19,0,21,9,60
6,67.35714286,63,24.26256842,19,0,1,13,11,0,0,38
20,66.02380952,454,415.5555569,51,0,213,72,17,15,31,106
16,65.64705882,299,109.0832341,88,0,52,43,23,15,26,140
13,66.5,124,45.25672963,27,0,1,40,17,8,18,40
9,66.3,136,113.0094784,37,27,18,16,11,23,12,29
9,68.7,64,22.66113636,22,0,0,0,9,8,8,39
10,67.54545455,101,19.05771714,35,0,0,11,14,12,10,54
10,66.36363636,133,48.66237931,29,0,1,40,20,8,18,46
21,66.04545455,516,887.7543185,54,163,111,44,33,8,24,133
19,66.05,466,403.8573736,53,0,213,90,17,15,31,100
7,67,291,104.6168862,29,65,69,44,20,80,0,13
13,66.14285714,311,219.9862884,43,0,111,57,17,8,24,94
21,66.02272727,515,882.0720019,54,163,111,57,17,15,24,128
30,65.77419355,539,349.0319828,64,1,215,90,45,22,20,146
11,66.5,183,42.70113881,67,0,18,28,20,18,32,67
1,75,42,15.1885,4,17,23,0,0,0,2,0
28,66.10344828,754,843.4007625,88,139,275,34,66,1,21,218
39,65.45,982,775.4739018,110,139,276,144,65,39,14,305
16,66.97058824,417,563.0644017,60,0,186,34,65,0,0,132
48,65.89795918,739,302.3105908,130,0,97,120,110,18,15,379
18,66.23684211,402,281.199814,86,0,96,34,70,5,0,197
31,65.859375,458,251.4985939,98,0,96,34,66,1,0,261
1,75,18,10.550175,4,0,16,0,1,1,0,0
20,66.0952381,399,291.5601964,83,0,96,34,70,5,0,194
33,65.83823529,592,325.4377459,109,0,186,34,66,2,0,304
8,67,418,1583.034928,32,139,179,0,0,0,29,71
45,65.65217391,614,245.984282,122,0,97,34,110,17,15,341
12,66.03846154,500,1166.645949,45,139,179,0,28,21,29,104
9,67.15,115,1017.696873,15,0,64,35,7,4,2,3
5,70.41666667,31,16.01948667,15,1,11,5,7,2,2,3
11,67.33333333,126,696.2112955,22,0,64,23,10,8,1,20
20,66.0952381,400,288.1129595,84,0,96,34,70,5,0,195
36,65.48648649,910,943.9402416,89,139,276,143,62,23,14,253
30,65.87096774,466,239.7067981,103,0,96,34,66,1,0,269
42,65.6627907,765,298.1199221,131,0,97,144,110,19,15,380
16,66.52941176,394,305.788481,79,0,96,34,70,5,0,189
41,65.45238095,942,837.2718574,101,139,276,143,65,39,14,266
15,67,250,494.4326143,42,0,64,57,34,9,0,86
15,67,250,494.4326143,42,0,64,57,34,9,0,86
3,68.5,24,13.92681538,13,0,0,3,0,2,0,19
11,67.33333333,126,696.2112955,22,0,64,23,10,8,1,20
11,67.08333333,129,767.973165,20,0,64,23,9,12,0,21
4,66.8,110,85.75282121,33,0,0,23,22,9,0,56
10,67.72727273,113,896.3765529,17,1,64,28,7,8,2,3
11,67.33333333,126,696.2112955,22,0,64,23,10,8,1,20
10,66.77272727,122,849.4384556,18,0,64,23,9,8,0,18
6,68,22,15.50364,15,1,0,5,2,4,1,9
14,66.43333333,419,326.5298118,51,0,161,45,50,27,10,126
38,65.87179487,788,162.5933067,150,0,2,148,95,36,56,451
28,66.56896552,78,46.2593087,23,0,30,0,11,20,7,10
2,74.5,7,10.96155,2,0,0,0,0,6,0,1
10,67.86363636,106,1081.341843,14,0,64,25,7,4,2,4
43,66.31818182,800,1121.984015,72,237,89,174,29,21,74,176
19,67.525,41,18.88423846,13,0,13,5,9,8,2,4
44,66.38888889,378,149.1519417,72,0,0,116,1,0,57,204
11,66.91666667,312,1323.660676,25,98,73,80,0,0,20,41
16,67.97058824,72,15.32285,20,0,0,6,9,0,0,57
2,74.5,22,17.26798333,6,0,0,10,3,6,2,1
2,74.5,20,14.53198571,7,0,5,5,7,0,2,1
