电影名,评分,评分人数,想看人数,物料播放量,总票房,首周票房,首日票房
龙之谷：破晓奇兵,9,24000 ,40000 ,3480000 ,57412000,35328000,7160000
神秘世界历险记2,9,21000 ,5125 ,,61924000,32560000,9062000
大话西游之大圣娶亲,8.8,242000 ,78000 ,150000000 ,177613000,1794000,1794000
归来,8.6,34000 ,12000 ,51150000 ,291370000,81325000,21195000
赛尔号大电影4：圣魔之战,8.5,12000 ,4409 ,,62274000,39489000,10910000
魔幻仙踪,8.5,2202 ,1552 ,,21841000,12394000,1065000
铠甲勇士之雅塔莱斯,8.4,15000 ,4004 ,,44399000,31191000,5925000
洛克王国3圣龙的守护,8.4,8431 ,3134 ,,47808000,30772000,8747000
单身男女2,8.3,184000 ,30000 ,,198480000,124347000,44913000
麦兜我和我妈妈,8.3,20000 ,15000 ,3690000 ,46705000,29534000,7798000
追爱大布局,8.3,1667 ,3336 ,,5586000,4675000,1200000
开心超人2：启源星之战,8.3,5647 ,2487 ,,27865000,16419000,3540000
猪猪侠之勇闯巨人岛,8.3,7978 ,1854 ,,43568000,23899000,7379000
推拿,8.2,2889 ,4041 ,,13515000,1896000,682000
81号农场之疯狂的麦咭,8.2,3520 ,1462 ,,18513000,13673000,3598000
聪明的一休之反斗公主,8.2,1265 ,947 ,,7980000,6026000,633000
痞子英雄2：黎明升起,8.1,49000 ,20000 ,,204239000,130933000,31883000
夜莺,8.1,1821 ,3574 ,,21978000,1270000,307000
匆匆那年,8,380000 ,74000 ,,588598000,206925000,59863000
男人不可以穷,8,13000 ,12000 ,,13647000,7932000,2190000
反贪风暴,8,28000 ,12000 ,,95133000,34397000,17246000
37次想你,8,1394 ,2939 ,,499000,343000,135000
辛巴达历险记2,8,3104 ,1449 ,,25933000,16685000,1820000
怒放之青春再见,8,263 ,627 ,,1989000,1057000,472000
打工老板,8,72 ,137 ,,556000,358000,55000
一生一世,7.9,89000 ,27000 ,,227786000,72378000,18475000
龟兔再跑,7.9,4063 ,1632 ,,11666000,4640000,2099000
大峰祖师,7.9,279 ,905 ,,360000,298000,136000
孕城,7.8,37 ,70 ,,207000,58000,25000
不再说分手,7.7,3285 ,4031 ,,10137000,6544000,1020000
小时代3：刺金时代,7.6,194000 ,72000 ,,521259000,315372000,107642000
露水红颜,7.6,40000 ,17000 ,,66305000,34974000,10687000
破局,7.6,353 ,830 ,,1143000,542000,198000
求爱嫁期,7.6,456 ,655 ,,3776000,2129000,597000
天河,7.6,546 ,310 ,,34084000,660000,562000
超验骇客,7.5,19000 ,8547 ,,125749000,66760000,19815000
我是狼之火龙山大冒险,7.5,271 ,903 ,,1705000,673000,250000
巴啦啦小魔仙之魔法的考验,7.5,1285 ,877 ,,19143000,12611000,4181000
太平轮（上）,7.2,54000 ,21000 ,,195092000,110656000,24067000
不能说的夏天,7.2,19000 ,9866 ,,16622000,11109000,3147000
近距离击杀,7.2,89 ,316 ,,269000,244000,110000
触不可及,7.1,10000 ,6385 ,1470000 ,76704000,39951000,12119000
斐济99℃爱情,7.1,553 ,802 ,,1110000,669000,212000
喵星少年漂流记,7.1,99 ,270 ,,1652000,918000,211000
爱你一世一生,7,1614 ,2076 ,,835000,639000,162000
拆散专家,7,1123 ,1422 ,,5993000,3058000,1098000
U盘,7,76 ,326 ,,389000,144000,74000
情笛之爱,7,59 ,177 ,,194000,81000,81000
兰亭,7,24 ,90 ,,2143000,27000,18000
夺樽,7,25 ,86 ,,655000,481000,132000
永不消失的广播,7,31 ,74 ,,386000,201000,94000
X战警：黑凤凰,7.9,175000 ,307000 ,30200000 ,409247000,308864000,80196000
雷霆沙赞！,7.9,142000 ,107000 ,18250000 ,294740000,206049000,97238000
惊涛迷局,7.9,690 ,2869 ,30000 ,648000,471000,230000
勇敢者游戏2：再战巅峰,7.8,125000 ,118000 ,38150000 ,289243000,173637000,61398000
星球大战：天行者崛起,7.8,45000 ,66000 ,1860000 ,143805000,73238000,17025000
黑衣人：全球追缉,7.7,123000 ,187000 ,31590000 ,307977000,179256000,59438000
死侍2：我爱我家,7.6,188000 ,129000 ,37760000 ,286812000,152470000,56721000
真相漩涡,7.5,686 ,11000 ,40000 ,684000,478000,246000
巨鳄风暴,7.4,50000 ,23000 ,6050000 ,74469000,47028000,15158000
冷血追击,7.4,6110 ,12000 ,2080000 ,5366000,4056000,2244000
星际探索,6.7,23000 ,33000 ,6960000 ,22859000,19500000,5299000
死寂逃亡,6.5,9358 ,21000 ,5350000 ,9903000,7262000,3728000
海王,9.3,1188000 ,251000 ,65770000 ,2013064000,652113000,156816000
毒液：致命守护者,9.2,1211000 ,394000 ,100000000 ,1870644000,766779000,223384000
传奇的诞生,9.2,24000 ,42000 ,2310000 ,28276000,17308000,4658000
雪怪大冒险,9.2,42000 ,6047 ,11100000 ,75085000,27135000,2273000
摩天营救,9.1,487000 ,118000 ,31880000 ,669813000,329228000,90672000
神探狗笨吉,9.1,3525 ,24000 ,470000 ,3951000,1902000,823000
复仇者联盟3：无限战争,9,1702000 ,1146000 ,170000000 ,2390505000,1272238000,387260000
碟中谍6：全面瓦解,9,541000 ,242000 ,64360000 ,1245222000,530818000,168233000
头号玩家,9,968000 ,105000 ,66340000 ,1396675000,390679000,85690000
公牛历险记,9,105000 ,16000 ,5000000 ,172014000,59915000,9154000
狂暴巨兽,8.9,876000 ,161000 ,67620000 ,1003963000,350252000,94592000
比得兔,8.9,155000 ,76000 ,24870000 ,168394000,80148000,20015000
超人总动员2,8.9,201000 ,68000 ,26410000 ,354385000,137206000,30401000
马戏之王,8.9,77000 ,17000 ,8420000 ,101251000,48025000,13601000
蚁人2：黄蜂女现身,8.8,443000 ,319000 ,48800000 ,831559000,464992000,154491000
蜘蛛侠：平行宇宙,8.8,227000 ,105000 ,70980000 ,427528000,179482000,44026000
无敌破坏王2：大闹互联网,8.8,130000 ,102000 ,26830000 ,271174000,135669000,28623000
妈妈咪呀2,8.8,4253 ,8676 ,12810000 ,4148000,2220000,624000
精灵旅社3：疯狂假期,8.7,133000 ,134000 ,21580000 ,223615000,116236000,51526000
小马宝莉大电影,8.7,33000 ,30000 ,9000000 ,46813000,16983000,5408000
侏罗纪世界2,8.6,996000 ,621000 ,150000000 ,1695906000,734365000,202460000
勇敢者游戏：决战丛林,8.6,312000 ,101000 ,12230000 ,491962000,258352000,74420000
憨豆特工3,8.6,107000 ,94000 ,12430000 ,172307000,79535000,21344000
三块广告牌,8.6,35000 ,36000 ,5540000 ,64990000,15025000,2960000
绿毛怪格林奇,8.6,13000 ,14000 ,9830000 ,26438000,19485000,2742000
淘气大侦探,8.5,6698 ,47000 ,2600000 ,10415000,7014000,2703000
爱猫之城,8.5,2666 ,24000 ,2380000 ,2820000,1156000,566000
虎胆追凶,8.5,16000 ,19000 ,9360000 ,22418000,13377000,4742000
汪星卧底,8.5,11000 ,18000 ,2460000 ,14991000,8211000,2933000
网络谜踪,8.5,15000 ,11000 ,3860000 ,30494000,18289000,5146000
黑豹,8.4,512000 ,283000 ,32880000 ,662596000,422951000,131770000
通勤营救,8.4,35000 ,29000 ,4460000 ,45405000,26088000,8120000
飓风奇劫,8.4,57000 ,6385 ,4660000 ,95124000,48904000,9157000
古墓丽影：源起之战,8.3,317000 ,154000 ,42150000 ,497480000,262742000,76777000
阿尔法：狼伴归途,8.3,69000 ,86000 ,16250000 ,114566000,70232000,22097000
忌日快乐,8.3,55000 ,24000 ,11740000 ,61262000,16649000,5051000
战犬瑞克斯,8.3,6756 ,16000 ,12030000 ,6708000,3860000,1502000
游侠索罗：星球大战外传,8.2,53000 ,35000 ,8580000 ,106306000,63183000,20104000
摘金奇缘,8.2,8798 ,11000 ,28080000 ,11489000,7981000,2881000
环太平洋：雷霆再起,8.1,496000 ,338000 ,54430000 ,633230000,411578000,136244000
我的间谍前男友,8.1,44000 ,21000 ,8280000 ,61745000,40092000,12072000
移动迷宫3：死亡解药,8,195000 ,129000 ,24210000 ,315281000,145996000,52325000
水形物语,8,95000 ,83000 ,12230000 ,105423000,67718000,21817000
金钱世界,8,9024 ,20000 ,4420000 ,11157000,6801000,2638000
神奇动物：格林德沃之罪,7.9,196000 ,193000 ,30120000 ,398875000,260814000,80405000
星球大战：最后的绝地武士,7.9,139000 ,103000 ,4940000 ,267944000,186571000,61406000
第一夫人,7.9,2266 ,49000 ,210000 ,2130000,1246000,603000
胡桃夹子和四个王国,7.9,60000 ,47000 ,8640000 ,112570000,82552000,23662000
犬之岛,7.9,34000 ,22000 ,9350000 ,43525000,26054000,6928000
无敌原始人,7.9,2231 ,4758 ,2130000 ,3595000,2807000,367000
铁血战士,7.8,133000 ,103000 ,21730000 ,216865000,135806000,48649000
绝命时钟2:22,7.8,1323 ,3726 ,140000 ,2262000,1692000,992000
寂静之地,7.7,211000 ,137000 ,34230000 ,220892000,113176000,33302000
滴答屋,7.6,10000 ,14000 ,8380000 ,19047000,16547000,5515000
惊涛飓浪,7.5,9659 ,36000 ,5740000 ,11145000,8030000,3811000
湮灭,7.4,58000 ,74000 ,29100000 ,66080000,38377000,13752000
迷镇凶案,7.1,7594 ,12000 ,320000 ,5674000,4356000,1606000
深海越狱,7,50000 ,90000 ,6570000 ,51375000,40755000,17660000
夺命来电,6.6,1957 ,5535 ,16540000 ,1241000,761000,305000
金蝉脱壳2：冥府,6.5,130000 ,148000 ,51540000 ,91323000,70930000,35354000
凤凰城遗忘录,6.5,928 ,12000 ,200000 ,749000,626000,420000
超能泰坦,5.9,16000 ,28000 ,1920000 ,14276000,12072000,6227000
火力全开,9.6,6482 ,9632 ,,2403000,1558000,527000
