R通道一阶矩,G通道一阶矩,B通道一阶矩,R通道二阶矩,G通道二阶矩,B通道二阶矩,R通道三阶矩,G通道三阶矩,B通道三阶矩,label
0.03919882352941175,0.04028039215686273,0.029730588235294123,0.08458899942189428,0.086870071789442,0.06511500584123417,-0.11721412155534237,-0.12038116047439931,-0.09166021120726911,0
0.04636980392156865,0.036422745098039215,0.027218823529411774,0.0980917044039425,0.07742750291319324,0.05816532978999941,-0.13404840758784262,-0.10626428521433914,-0.08017934962975684,0
0.04832862745098042,0.05438941176470593,0.017819607843137256,0.10171616769461501,0.11443367951943512,0.038079703086536604,-0.1383521427682792,-0.15560094082357837,-0.052572577077244026,0
0.0780678431372549,0.07069333333333333,0.06557333333333333,0.1771892299108711,0.16190534333052686,0.15143085871909126,-0.2561645035865268,-0.23592391217717618,-0.2219377082249987,0
0.1097807843137256,0.09078039215686277,0.004084705882352941,0.23153734815392407,0.19163669451867466,0.01274740719328759,-0.3155525349564575,-0.2613951253071933,-0.020855260211761435,0
0.06679921568627449,0.06195686274509802,0.05880862745098039,0.15919091712628544,0.14622118263379832,0.14030267349969994,-0.23816035009701933,-0.21838132868803178,-0.21066360650543384,0
0.08112196078431372,0.04068862745098038,0.0246086274509804,0.17179437432435873,0.08825479011956268,0.056224358540523586,-0.23498240098758874,-0.12294653323292715,-0.08049263210519403,0
0.10296745098039221,0.08976627450980396,0.06845411764705879,0.21932971875042806,0.19322307804028033,0.15138784263402422,-0.3015265744228176,-0.2678813042178818,-0.2139367611358062,0
0.10748117647058823,0.10975058823529411,0.11755372549019608,0.24581099081724864,0.2510149425873517,0.26475368276473843,-0.3531819246271839,-0.3606379185651523,-0.37683403173094543,0
0.09495686274509808,0.10820078431372555,0.13216901960784316,0.1994620853608558,0.2272611735388111,0.27760021297269427,-0.2707831902532291,-0.3084944726974529,-0.3768218283409659,0
0.10020627450980393,0.10880666666666666,0.12319215686274512,0.22702105836372521,0.2442588104958717,0.2711119771141021,-0.3247539020750463,-0.3469405877394047,-0.3795215435989665,0
0.022690588235294105,0.025612156862745098,0.02086901960784314,0.05323156757167349,0.05809316627815576,0.04546119006438319,-0.07752275248010732,-0.08330987144790278,-0.06369582544037283,0
0.03731686274509804,0.0391941176470588,0.028119215686274516,0.08059503550932241,0.08444697581203568,0.06239220239650304,-0.11194033529157317,-0.11710942890028983,-0.08902191441911822,0
0.03977568627450977,0.04451450980392154,0.04001960784313723,0.08542519916440557,0.09427399397516383,0.0850132109958758,-0.11822924750905425,-0.12897821480129645,-0.11662621389938448,0
0.05483137254901966,0.0615474509803922,0.07131411764705882,0.11733647656479755,0.13122688657152412,0.15119753338184816,-0.1624132793074079,-0.18096321702557355,-0.20728602770305327,0
0.05068313725490196,0.05745137254901965,0.0663396078431373,0.10854760993236305,0.12231605205474515,0.14115024297601883,-0.15003796665966482,-0.16814956859770552,-0.19398186500685843,0
0.02838313725490197,0.0331643137254902,0.02373019607843136,0.06275889378072065,0.0727978615262342,0.05330314609214228,-0.09128294591509994,-0.10399329023351955,-0.08018130528987968,0
0.08244862745098043,0.06476392156862747,0.004127058823529411,0.17634012923055498,0.13834267785541673,0.01886291459774645,-0.24279576672910805,-0.19019872187200393,-0.035268898870139606,0
0.02836588235294118,0.03099176470588235,0.0119843137254902,0.062372760796578164,0.0677957417723991,0.028812079828112548,-0.08816835324922713,-0.09534623566733347,-0.0429513007765604,0
0.04024117647058822,0.03554078431372549,0.022653725490196074,0.08896756504645971,0.07823543881313466,0.05100783820512913,-0.12516518257544418,-0.11002497809473794,-0.07299132288396842,0
0.06408078431372553,0.06645098039215688,0.0667423529411765,0.13720981985776184,0.1418303611695358,0.1433980437397242,-0.18969739102372335,-0.19553473881270134,-0.19887038988137345,0
0.038494901960784304,0.03147725490196076,0.02862901960784312,0.09126153993151376,0.07676014964390614,0.0705705483402982,-0.13590618772561264,-0.11697280713489724,-0.10783303075148433,0
0.019873333333333333,0.029963137254901972,0.04693450980392158,0.04401663149838294,0.06523489821335926,0.10240572022139328,-0.061531261936223956,-0.09057453870862966,-0.14203770016722583,0
0.05436313725490197,0.05240627450980394,0.03383372549019609,0.11621379965066168,0.11162497759379772,0.07236242177767534,-0.16014310832633447,-0.15311748002668676,-0.09979153522811002,0
0.058975294117647084,0.05716156862745099,0.054524705882352954,0.13074930326290649,0.1254741707997156,0.12175969778027232,-0.18627075245269495,-0.1776305240874158,-0.1742260428121512,0
0.1122788235294118,0.09230274509803926,0.0064725490196078424,0.2360926224493008,0.19415772997673258,0.017037518153669017,-0.32083719336650984,-0.26394179225985054,-0.026237329124440267,0
0.03569333333333333,0.046323137254901954,0.020705490196078435,0.07962763355265849,0.10095288104067619,0.05109076845050136,-0.11409015839457165,-0.14195452510504636,-0.07748108810599322,0
0.08598941176470586,0.07150549019607844,0.06279411764705883,0.193072359638516,0.16473039495715094,0.14648690947730525,-0.2759555485781783,-0.23999332724177141,-0.2151267643390199,0
0.07249058823529414,0.06579372549019608,0.062178039215686286,0.16329036383687098,0.14833268315509307,0.1406346123711361,-0.2346317345274978,-0.21349601178076116,-0.20265442570301478,0
0.08820745098039218,0.08154431372549023,0.06994196078431375,0.18918657856964816,0.17357550742902905,0.14892197933911278,-0.26178508453942656,-0.23868610667541013,-0.20476753103502493,0
0.06720352941176469,0.062165098039215695,0.058992549019607814,0.16065992086407474,0.14740033564370006,0.14129859434645664,-0.23994818051424177,-0.22006221778264395,-0.2120591855209622,0
